Column1;Column2
obrokъ;obrok
obrǫčь;obręcz
obrusъ;obrus
obrъtь;obryć
osada;osada
osadъ;osad
osoka;osoka
otekъ;ociek
otokъ;otok
obuti;obuć
obuvati;obuwać
obuvь;obuwie
obvida;obida
obyčajь;obyczaj
ocьtъ;ocet
odeďa;odziedza
odolěnъ;odolan
odolěti;podołać
ogarь;ogar
ogňišče;ogniszcze
ogňь;ogień
ogъ;og
oje;oje
oko;oko
okolo;około
okovъ;okowy
okunevъ;okuniowy
okunь;okoń
okъno;okno
olbǫdь;łabędź
olčьnъ;łaczny
oldi;łódź
olějь;olej
olkati;łaknąć
olkomъ;łakomy
olkъtь;łokieć
olnę;łanię
olni;łania
olovo;ołów
olsь;łoś
omanъ;oman
oměgъ;omieg
onamo;onam
onuťa;onuca
onъ;on
opica;opica
oporęditi;oporządzić
orati;orać
orba;roba
orbę;robię
orbiti;robić
orbota;robota
orbotędzь;robociądz
ordlo;radło
orěxъ;orzech
orьlъ;orzeł
orkyta;rokita
orlьja;rola
ormę;ramię
orǫdьje;orędzie
orǫga;oręż
orǫžьje;oręże
orsti;róść
orstiti;rościć
orstъ;rost
ortajь;rataj
orvьnina;równina
orvьnъ;równy
orz;roz
orzьnъ;różny
orzkošь;rozkosz
orzkrǫtiti;rozkręcić
orzličьnъ;rozliczny
orzuměti;rozumieć
orzumъ;rozum
oržьnъ;rożen
osa;osa
osь;oś
osla;osła
osьlъ;osioł
oskъrdъ;oskard
osmь;osiem
osmъ;ósmy
osnova;osnowa
osoba;osoba
ostь;ość
ostь;ość
ostьnъ;oścień
ostroga;ostroga
ostrovъ;ostrów
ostrъ;ostry
osъpa;ospa
osъtъ;oset
ota;ota
otava;otawa
otьcь;ojciec
otrokъ;otrok
otrǫba;otręby
otъ;od
otъskakati;odskakać
otъverti;odewrzeć
otъvoriti;otworzyć
oťьtnǫti;ocknąć
oťutiti;cucić
ova;owo
ovadъ;owad
ovamo;owam
ovati;ować
ovьca;owca
ovьnъ;owien
ovьsъ;owies
ovo;owo
ovoťe;owoc
ovъ;ów
ovъ;ów
ovъde;ówdzie
oxota;ochota
ǫda;węda
ǫdica;wędzica
ǫditi;wędzić
ǫdolь;wądół
ǫdъka;wędka
ǫgľь;węgiel
ǫgorь;węgorz
ǫgrъ;wągier
ǫgъlъ;węgieł
ǫgъrinъ;węgier
ǫkotь;łękotka
ǫpyrь;wąpierz
ǫsěnica;gąsienica
ǫsъ;wąs
ǫtьlъ;wątły
ǫtorъ;wątor
ǫtroba;wątroba
ǫtъkъ;wątek
ǫvozъ;wąwóz
ǫxati;wąchać
ǫziti;wężyć
ǫzlъ;węzeł
ǫzъkъ;wąski
ǫžь;wąż
pa;pa
padati;padać
padežь;padzież
pakostь;pakość
palica;palica
paliti;palić
palьcь;palec
pamętati;pamiętać
pamętь;pamięć
paorbъ;parób
paorbъkъ;parobek
paǫčina;pajęczyna
paǫkъ;pająk
paǫzъ;pawąz
paportь;paproć
para;para
pariti;parzyć
pasěka;pasieka
pasti;paść
pastь;paszcza
pastuxъ;pastuch
pastyrь;pasterz
patriti;patrzeć
pavъ;paw
paxati;pachać
paxnǫti;pachnąć
pazduxa;pazucha
pazurъ;pazur
pazъ;paz
pečara;pieczarka
pečatь;pieczęć
pečěra;pieczarka
pečivo;pieczywo
pelena;pielucha
pelnъ;plon
pelti;pleć
pelva;plewa
pepelъ;popiół
per;prze
per;prze
perčiti;przeczyć
perdati;sprzedać
perdьnъ;przedni
perdъ;przed
perdъkъ;przodek
perina;pierzyna
perkъ;przeko
pero;pióro
perpelъ;przepiórka
persky;brzoskiew
perti;przeć
perunъ;piorun
perunъ;piorun
perz;przez
petьlъ;pętla
peťera;pieczara
peťi;piec
peťь;piec
pěga;piega
pěna;piana
pěnędzь;pieniądz
pěsnь;pieśń
pěstъ;piasta
pěsъčьnъ;piaseczny
pěsъkъ;piasek
pěšь;pieszy
pěti;piać
pěvati;śpiewać
pěxota;piechota
pędь;piędź
pędlo;piądło
pęstь;pięść
pęta;pięta
pęti;piąć
pętь;pięć
pętьno;piętno
pętъ;piąty
pętъkъ;piątek
pila;piła
pilьnъ;pilny
pisьmo;pismo
piskati;piskać
piskořь;piskorz
piščalь;piszczel
piti;pić
piťa;pica
pivo;piwo
pizda;pizda
pьjavъka;pijawka
pьkъlo;piekło
pьkъlъ;piekło
pьlnъ;pełny
pьlstь;pilść
pьlxъ;pilch
pьlzati;pełzać
pьňь;pień
pьpьrь;pieprz
pьrati;prać
pьrděti;pierdzieć
pьrěti;przeć
pьrga;pierzga
pьrsь;pierś
pьrstь;pierść
pьrstъ;parst
pьrsty;pierścień
pьrtь;pierć
pьrvъ;pierwy
pьrxъ;parch
pьsati;pisać
pьstrъ;pstry
pьsъ;pies
pьšenica;pszenica
pьšeno;pszono
pьxati;pchać
pьzděti;bździć
plačь;płacz
plakati;płakać
plastъ;płast
platiti;płacić
plavati;pławać
plaviti;pławić
plemę;plemię
plesti;pleść
pleťe;plecy
plěna;plana
plěsnь;pleśń
plěšь;plesz
plęsati;pląsać
pliska;pliszka
plodъ;płód
ploskъ;płaski
plotъ;płot
plugъ;pług
pluťe;płuco
plъtь;płeć
plъtъ;płet
plynǫti;płynąć
plyti;pływać
pľьvati;pluć
pľugavъ;plugawy
po;po
počivati;odpoczywać
podьlъ;podły
podobьnъ;podobny
podušьka;poduszka
podъ;pod
podъbělъ;podbiał
podъkova;podkowa
pojasъ;pas
pojiti;poić
pokojь;pokój
polěno;polano
polica;polica
polkati;płukać
polmy;płomień
polnina;płonina
polnъ;płonny
polsa;płosa
polšiti;płoszyć
poltьno;płótno
polъ;pół
polvъ;płowy
polxъ;płochy
polzъ;płóz
poľana;polana
poľaninъ;polanin
poľe;pole
pomoťь;pomoc
ponedělъkъ;poniedziałek
pora;pora
porędъkъ;porządek
porgъ;próg
porkъ;prok
pormъ;prom
pormy;promień
porporъ;proporzec
porsę;prosię
porti;pruć
porťa;proca
porxъ;proch
porxъno;próchno
porzdьnъ;próżny
posagъ;posag
posteľь;pościel
postъ;post
posъlati;posłać
posъlъ;poseł
posylati;posyłać
potьběga;poćbiega
potokъ;potok
potomъkъ;potomek
potopъ;potop
potъ;pot
povorzъ;powróz
pozdьnъ;późny
pozorъ;pozór
požarъ;pożar
pǫditi;pędzić
pǫpъ;pęp
pǫtati;pętać
pǫtь;pąć
pǫtьnikъ;pątnik
pǫto;pęto
pǫxyrь;pęcherz
pragnǫti;pragnąć
praščurъ;praszczur
pravidlo;prawidło
praviti;prawić
pravьda;PRAWDA
pravъ;prawy
pražiti;prażyć
prěsnъ;przaśny
prędivo;przędziwo
pręďa;przędza
pręslo;przęsło
pręsti;prząść
prętati;sprzątać
pri;przy
pričina;przyczyna
prijateľь;przyjaciel
prijati;sprzyjać
prijaznь;przyjaźń
prijьti;przyjść
prikrъ;przykry
prisęga;przysięga
pritъča;przytcza
prokъnъ;prokny
prorokъ;prorok
prositi;prosić
proso;proso
prosterti;prostrzeć
prostiti;prościć
prostorъ;przestwór
prostъ;prosty
protivьnъ;przeciwny
protivъ;przeciw
prǫdъ;prąd
prǫga;pręga
prǫgъ;pręg
prǫtъ;pręt
prǫžina;sprężyna
pryskati;pryskać
pustiti;puścić
pustъ;pusty
pustyni;pustynia
puxati;puchać
puxlъ;pulchny
puxnǫti;puchnąć
puxъ;puch
puzdro;puzdro
pъlkъ;pełk
pъrtiti;parcieć
pъvati;pwać
pyrь;perz
pytati;pytać
račiti;raczyć
raditi;radzić
radostь;radość
radostьnъ;radosny
radъ;rad
rajь;raj
rakъ;rak
rana;rana
raniti;ranić
ranъ;rano
rarogъ;raróg
raziti;razić
razъ;raz
rebro;żebro
redьky;rzodkiew
regti;rzega
remeslo;rzemiosło
remy;rzemień
rešeto;rzeszoto
retędzь;wrzeciądz
reťi;rzec
rěčь;rzecz
rědъkъ;rzadki
rěka;rzeka
rěpa;rzepa
rěpьjь;rzep
rěšiti;rozgrzeszyć
rězati;rzezać
rězьba;rzeźba
rězъ;rzaz
rězъkъ;rześki
rězvъ;rzeźwy
ręditi;rządzić
rędъ;rządny
ręsa;rzęsa
rimъ;rzym
ritь;rzyć
rьtǫtь;rtęć
rьvьnivъ;rzewniwy
rodina;rodzina
roditi;rodzić
rodъ;ród
rogačь;rogacz
rogozъ;rogozie
rogъ;róg
rojь;rój
rokъ;rok
roniti;ronić
rosa;rosa
rota;rota
rovъ;rów
rozga;rózga
rǫbežь;rąbież
rǫbiti;rąbać
rǫbъ;rąb
rǫgati;rągać
rǫka;ręka
rǫkavъ;rękaw
ručajь;ruczaj
ruda;ruda
rudъ;rudy
ruměnъ;rumiany
runo;runo
rusъ;rusy
rušiti;ruszyć
ruxъ;ruch
rъděti;rdzieć
rъďa;rdza
rъďavъ;rdzawy
rъtъ;ret
rъvati;rwać
rъžь;reż
ryba;ryba
rybařь;rybarz
rydlo;rydel
ryďь;rydz
rygati;rzygać
rysь;ryś
ryti;ryć
ryxlъ;rychły
řuti;rzuć
řutiti;rzucić
sabľa;szabla
saditi;sadzić
sadlo;sadło
sadъ;sad
saďa;sadza
samъ;sam
sanь;sanie
sčemiti;szczmić
sedliti;siedlić
sedmь;siedem
sedmъ;siódmy
sedъlo;siodło
sekyra;siekiera
selьskъ;sielski
selo;sioło
selzenь;śledziona
serda;środa
serdьnъ;średni
sernъ;szron
sestra;siostra
sěděti;siedzieć
sědlo;siadło
sěmę;siemię
sěmo;siam
sěnь;sień
sěno;siano
sěra;siarka
sěsti;siąść
sěti;siać
sětь;sieć
sěťi;siec
sěverъ;siewiór
sę;się
sęgati;sięgać
sęgnǫti;sięgnąć
sęknǫti;siąknąć
sęťi;przysiąc
sidlo;sidło
sikati;sikać
sila;siła
silьnъ;silny
sinica;sinica
siňь;siny
sirota;sierota
sito;sito
sitъ;sit
sivъ;siwy
sь;siego
sьcati;szczać
sьčava;szczaw
sьrati;srać
sьrbati;siorbać
sьrditi;sierdzić
sьrdьce;serce
sьrdьčьnъ;serdeczny
sьrebro;srebro
sьrna;sarna
sьrpъ;sierp
sьrstь;sierść
sьrxy;szerszeń
skakati;skakać
skala;skała
skarędъ;szkaradny
skoba;skobel
skobľь;skobel
skočiti;skoczyć
skokъ;skok
skopiti;skopić
skora;skóra
skormъ;skrom
skornь;skroń
skorъ;skory
skotъ;skot
skovorda;skowroda
skovornъ;skowron
skǫpъ;skąpy
skripěti;skrzypieć
skubati;skubać
skuti;skuść
skъrbь;skarb
skvara;skwar
skvьrčěti;ćwierczeć
skvьrna;skwarna
skvorьcь;skorzec
slabъ;słaby
slava;sława
slavьnъ;sławny
slědъ;ślad
slěpьcь;ślepiec
slěpъ;ślepy
slimakъ;ślimak
slina;ślina
sliva;śliwa
slizь;śliz
slizъkъ;śliski
slьza;śloza
slo;sło
sloniti;słonić
slonъ;słoń
slota;słota
slověninъ;słowianin
slověnьskъ;słowiański
slovo;słowo
slǫka;słonka
sluga;sługa
slušati;słuszać
sluti;słynąć
sluxъ;słuch
sluzь;śluz
služiti;służyć
služьba;służba
slyšati;słyszeć
smaga;smaga
smaliti;smalić
smažiti;smażyć
smerkъ;świerk
směati;śmiać
smědъ;śmiady
směšьnъ;śmieszny
směxъ;śmiech
smьjati;śmiać
smьrděti;śmierdzieć
smokъ;smok
smoky;smokwa
smola;smoła
smordъ;smród
smuga;smuga
mъlžь;małż
smykati;smykać
sněgъ;śnieg
snopъ;snop
snubiti;snębić
snuti;snuć
snъxa;snecha
sočiti;soczyć
soja;sоjа
sojьka;sójka
sokolъ;sokół
sokъ;sok
soldъ;słód
soldъkъ;słodki
solďьjь;słodszy
soliti;solić
solь;sól
solma;słoma
solnina;słonina
solnъ;słony
solvьjь;słowik
somъ;sum
sorka;sroka
sormъ;srom
soršiti;stroszyć
sosna;sosna
sova;sowa
sovati;suwać
soxa;socha
sǫ;są
sǫbota;sobota
sǫčiti;sączyć
sǫdakъ;sandacz
sǫdi;sędzia
sǫditi;sądzić
sǫdъ;sąd
sǫka;suka
sǫkъ;sęk
sǫmorkъ;zmrok
sǫpiti;sępić
sǫpъ;sęp
sǫsědъ;sąsiad
spěšiti;śpieszyć
spěti;śpiać
spěxъ;śpiech
sporъ;spory
stado;stado
stajati;stawać
stanъ;stan
starati;starać
starějь;starzej
starьcь;starzec
starostь;starość
starъ;stary
stati;stać
stavati;stawać
staviti;stawić
stavъ;staw
stegno;ścięgno
sterťi;strzec
stěna;ściana
stigati;ścigać
stignǫti;ścignąć
stьblo;źdźbło
stьbľь;żbik
stьdza;śćdza
stьgna;ściegna
stьklęnъ;szklany
stьklo;szkło
stьlati;słać
stьrnь;ścierń
stьrvь;ścierw
stьžьka;ścieżka
stogъ;stóg
stojati;stać
stolъ;stół
stopa;stopa
storbiti;strobić
storna;strona
storža;straż
storžь;stróż
stožěrъ;stożek
stǫpa;stępa
stradati;stradać
strašidlo;straszydło
strašiti;straszyć
strašьnъ;straszny
straxъ;strach
stremę;strzemię
strěla;strzała
strěxa;strzecha
striťi;strzyc
strьnadъ;trznadel
strьžьnь;rdzeń
strogъ;srogi
strojiti;stroić
strojь;strój
stroka;stroka
stromъ;strom
stropъ;strop
strǫga;strąga
strǫkъ;strąk
struga;struga
strugati;strugać
strugъ;strug
strumy;strumień
struna;struna
strupъ;strup
strъjь;stryj
strybogъ;strzybóg
studiti;studzić
studъ;ostuda
stukъ;stuk
stъlbъ;słup
stъpica;szpica
stъrčati;sterczeć
stydnǫti;stygnąć
stydъ;wstyd
sudlica;sulica
sukati;sukać
sukno;sukno
sunǫti;sunąć
surovъ;surowy
suša;susza
sušiti;suszyć
suti;sukać
suxъ;suchy
sъborъ;zbór
sъbožьje;zboże
sъčęstьje;szczęście
sъdoba;zdoba
sъdorvьje;zdrowie
sъdorvъ;zdrowy
sъkromьnъ;skromny
sъlati;słać
sъlnьce;słońce
sъlojь;słój
sъľubъ;ślub
sъmetana;śmietana
sъmetь;śmieć
sъmělъ;śmiały
sъměti;śmieć
sъmьrtь;śmierć
sъn;z
sъnъ;sen
sъpati;spać
sъporъ;spór
sъrěsti;śrześć
sъsati;ssać
sъsьlъ;suseł
sъto;sto
sъtrava;strawa
sъvariti;zwarzyć
sъvarogъ;swaróg
sъvorьnь;sworzeń
sъxnǫti;schnąć
svariti;swarzyć
svarъ;swar
svatьba;swadźba
svatъ;swat
svekrъ;świekier
svekry;świekra
sverěpъ;świerzop
světiti;świecić
světьlъ;światły
světъ;świat
svěťa;świeca
svěžь;świeży
svętъ;święty
svidъ;świd
svinьja;świnia
svinъ;świni
svьrběti;świerzbieć
svьrčь;świerszcz
svьrdьlъ;świder
svoboda;swoboda
svojь;swój
svorbъ;świerzb
sykora;sikora
synъ;syn
sypati;sypać
syrovatъka;serwatka
syrъ;ser
sytъ;syty
šata;szata
ščedrъ;szczodry
ščeka;szczęka
ščelina;szczelina
ščenę;szczenię
ščigъlъ;szczygieł
ščirъ;szczyr
ščitъ;szczyt
ščьvati;szczuć
ščuka;szczuka
ščupati;szczupać
ščuplъ;szczupły
ščurъ;szczur
šelmъ;szłom
šestь;sześć
šestъ;szósty
šibenica;szubienica
šibъkъ;szybki
šidlo;szydło
šija;szyja
šipъ;szyp
širь;szerz
širokъ;szeroki
šišьka;szyszka
šiti;szyć
šivačь;szwacz
šьpъtati;szeptać
šьpъtъ;szept
šьvьcь;szewc
šьvъ;szew
šulo;szuło
šumъ;szum
šurь;szurza
śědъ;szady
śěpati;siepać
śěrъ;szary
tajati;tajać
tajiti;taić
tajьnъ;tajny
tako;tak
takъ;taki
tamo;tam
tata;tata
tati;tać
tekъ;ciek
telę;cielę
telťi;tłuc
teľь;ciel
teplъ;ciepły
terba;trzeba
terbiti;trzebić
terti;trzeć
terzvъ;trzeźwy
tesati;ciosać
tesla;ciosła
tesъ;cios
teta;ciocia
tetervь;cietrzew
teti;ciepać
teťi;ciec
tělo;ciało
těmę;ciemię
těnь;cień
těsnъ;ciasny
těsto;ciasto
těšiti;cieszyć
tęgati;tachać
tęgnǫti;ciągnąć
tępati;ciapać
tęti;ciąć
tętiva;cięciwa
tęžiti;ciążyć
tęžьkъ;ciężki
ti;ć
tiskati;ciskać
tisъ;cis
tišina;ciszyna
tixъ;cichy
tьje;cie
tьlěti;tleć
tьlo;tło
tьma;ćma
tьmьnica;ciemnica
tьmьnъ;ciemny
tьnъkъ;cienki
tьrnьje;tarnie
tьrnъ;cierń
tьrpěti;cierpieć
tьrpъkъ;cierpki
tьstь;teść
točiti;toczyć
togъda;tedy
tokъ;tok
toliko;tylko
toliti;tulić
tolkъno;tłukno
topiti;topić
topolь;topola
toporъ;topór
torkъ;trok
torъ;tor
tovarъ;towar
tǫča;tęcza
tǫda;tędy
tǫga;tęga
tǫgъ;tęgi
tǫpъ;tępy
tǫxlъ;stęchły
tǫžiti;tężyć
tratiti;tracić
trava;trawa
traviti;trawić
trepati;trzepać
tretь;trzeci
trěska;trzaska
trěskati;trzaskać
trěskъ;trzask
trěščati;trzeszczeć
tręsti;trząść
trigolvъ;trzygłów
trimati;trzymać
trьbuxъ;trybuch
trьje;trzy
trьstь;treść
trьvoga;trwoga
troska;troska
trošiti;troszyć
trǫba;trąba
trǫdъ;trąd
trǫtiti;trącić
trǫtъ;trąd
trudьnъ;trudny
trudъ;trud
trupъ;trup
truti;truć
truxlъ;truchły
trъvati;trwać
tu;tu
tučьnъ;tuczny
tukъ;tuk
tuliti;tulić
tuňь;tani
tupati;tupać
turъ;tur
tušiti;tuszyć
tъ;ten
tъjьdьnь;tydzień
tъkačь;tkacz
tъkati;tkać
tъlmačiti;tłumaczyć
tъlmačь;tłumacz
tъlpa;tłum
tъlstъ;tłusty
tъrgati;targać
tъrgъ;targ
tъščь;czczy
tva;twa
tvarь;twarz
tvarogъ;twaróg
tvьrdь;twierdza
tvьrdъ;twardy
tvojь;twój
tvoriti;tworzyć
tvorьcь;tworzec
tvorъ;twór
ty;ty
tyky;tykwa
tylъ;tył
tynъ;tyn
tysǫti;tysiąc
tyti;tyć
ťi;c
ťuďь;cudzy
u;u
ubogъ;ubogi
učiti;uczyć
udъ;ud
ujь;wuj
uklěja;ukleja
ukrajina;ukraina
ulica;ulica
ulьjь;ul
uměti;umieć
umъ;um
upъvati;ufać
uroďajь;urodzaj
urokъ;urok
usta;usta
ustьje;ujście
usъnǫti;usnąć
ušьnъ;uszny
utro;jutro
uxo;ucho
uzda;uzda
ъka;ka
ъkъ;ek
vabiti;wabić
vada;wada
vaditi;wadzić
valъ;wał
vapьno;wapno
variti;warzyć
varъ;war
vasnь;waśń
vašь;wasz
večerъ;wieczór
vedro;wiodro
velěti;wielić
velikъ;wielki
velьblǫdъ;wielbłąd
velьjь;wiele
velьmi;wielmi
velьrybъ;wieloryb
velťi;wlec
veprь;wieprz
verdъ;wrzód
vermę;wrzemię
verskъ;wrzask
versъ;wrzos
verščati;wrzeszczeć
verteno;wrzeciono
verti;wrzeć
veselъ;wesoły
veslo;wiosło
vesna;wiosna
vesti;wieść
vetъxъ;wiotki
veťь;wiec
vezti;wieźć
vě;wa
věčьnostь;wieczność
věčьnъ;wieczny
věděti;wiedzieć
vědьma;wiedźma
vědro;wiadro
věďa;wiedza
vějati;wiać
věko;wieko
věkъ;wiek
věnьcь;wieniec
věno;wiano
věra;wiara
věriti;wierzyć
věrьnъ;wierny
věstь;wieść
věščь;wieszcz
věščьba;wieszczba
větrъ;powietrze
větvь;wiećw
věťati;wiecać
věťe;wiec
věverica;wiewierzyca
věxa;wiecha
věža;wieża
vędnǫti;więdnąć
vęťeslavъ;więcesław
vęťьjь;większy
vęzati;wiązać
vęzti;wiąźć
vęzъ;wiąz
viděti;widzieć
vidla;widły
vidъ;wid
vila;wiła
vina;wina
viniti;winić
vino;wino
vinogordъ;winograd
virъ;wir
visěti;wisieć
višьňa;wiśnia
vitati;witać
vitędzь;wiciądz
viti;wić
vitь;wić
vixъrъ;wicher
vьčera;wczoraj
vьdova;wdowa
vьlgnǫti;wilgnąć
vьlgъkъ;wilgi
vьlkolakъ;wilkołak
vьlkъ;wilk
vьlna;wełna
vьrba;wierzba
vьrěti;wrzeć
vьrgati;wierzgać
vьrgnǫti;wierzgnąć
vьrsta;warstwa
vьrša;wiersza
vьrtěti;wiercić
vьrtъ;wart
vьrxъ;wierch
vьsь;wieś
vьśako;wszak
vьśegъda;wżdy
vьśь;wszystek
vьśьde;wszędzie
vьśǫdu;wszędy
voda;woda
voditi;wodzić
vodьnikъ;wodnik
voďь;wódz
vojevati;wojować
vojevoda;wojewoda
vojь;woj
vojьna;wojna
volčiti;włóczyć
volděti;władać
voldiměrъ;włodzimierz
voliti;woleć
volьnъ;wolny
volkъ;włok
volkъno;włókno
volstь;włość
volsъ;włos
volšьskъ;wołoski
volъ;wół
volxъ;włoch
voľa;wola
voňati;wonieć
voňь;woń
vorbьľь;wróbel
vorgъ;wróg
vorna;wrona
vorta;wrota
vortičь;wrotycz
vortiti;wrócić
voržьda;wróżda
voskъ;wosk
voziti;wozić
vozъ;wóz
vъ;wy
vъn;w
vъnǫtrь;wnątrz
vъnǫtrьnъ;wewnętrzny
vъnukъ;wnuk
vъnъ;wen
vъrčati;warczeć
vъšь;wesz
vъtorъ;wtóry
vъtorъkъ;wtorek
vъz;wz
vъz;wez
vъzęti;wziąć
vy;wy
vy;wy
vydra;wydra
vyknǫti;wyknąć
vymę;wymię
vysь;wyż
vysokъ;wysoki
vyšьjь;wyższy
vyti;wyć
vyzъ;wyz
xa;cha
xala;chała
xapati;chapać
xata;chata
xlěbьnica;chlebnica
xlěbьnikъ;chlebnik
xlěbьnъ;chlebny
xlěbovъ;chlebowy
xlěbъ;chleb
xlěvъ;chlew
xlǫdъ;chłąd
xmara;chmara
xobotъ;chobot
xoditi;chodzić
xodъ;chód
xolditi;chłodzić
xoldьnъ;chłodny
xoldъ;chłód
xolpъ;chłop
xoměkъ;chomik
xomǫtъ;chomąto
xopiti;chopić
xorbrostь;chrobrość
xorbrъ;chrobry
xormъ;chrom
xorna;charna
xorniti;chronić
xorǫgy;chorągiew
xotěti;chcieć
xovati;chować
xoxolъ;chochoł
xoxotati;chichotać
xǫtь;chęć
xrěnъ;chrzan
xręščь;chrząszcz
xrьbьtъ;grzbiet
xrobakъ;robak
xromъ;chromy
xrǫščь;chrząszcz
xudъ;chudy
xujevъ;chujowy
xujь;chuj
xujьňa;chujnia
xъ;ch
xъlmъ;chełm
xъmeľь;chmiel
xъrsъ;kars
xъrtъ;chart
xъrvatъ;chorwat
xvala;chwała
xvaliti;chwalić
xvatati;chwatać
xvěti;chwiać
xvoja;chwoja
xvojica;choica
xvojina;choina
xvojьka;chojka
xvojьnъ;chojnik
xvorstъ;chrust
xvorъ;chory
xvostъ;chwost
xybati;chybać
xytrostь;chytrość
xytrъ;chytry
yni;yni
za;za
zabava;zabawa
zabavьnъ;zabawny
zabyti;zabyć
zaduxъ;zaduch
zadъ;zad
zajęcь;zając
zakonъ;zakon
zamъkъ;zamek
zanovětь;żarnowiec
zapadъ;zapad
zapovědь;zapowiedź
zapъrtъkъ;zapartek
zaraza;zaraza
zautrъkъ;zajutrek
zavada;zawada
zaverti;zawrzeć
zavistь;zawiść
zelenъ;zielony
zelьje;ziele
zemľa;ziemia
zěnica;źrenica
zěpati;zipać
zěvati;ziewać
zębnǫti;ziębnąć
zętь;zięć
zijati;ziać
zima;zima
zinǫti;zionąć
zьlčь;żółć
zьrcadlo;zwierciadło
zьrěti;źrzeć
zьrno;ziarno
zmьja;żmija
zmьjь;żmij
znakъ;znak
znamę;znamię
znati;znać
znojь;znój
zobati;dziobać
zobь;dziób
zola;zoła
zolto;złoto
zorkъ;wzrok
zořa;zorza
zǫbъ;ząb
zъloba;złoba
zъlodějь;złodziej
zъlъ;zły
zъly;zełw
zъvati;zwać
zveno;dzwono
zvěrę;zwierzę
zvěrь;zwierz
zvękъ;dźwięk
zvьněti;wznieć
zvoniti;dzwonić
zvonъ;dzwon
žaba;żaba
žaliti;żalić
žalь;żal
žariti;żarzyć
žarъ;żar
že;że
želbъ;żłód
želdь;żłódź
želdъ;żłód
želěti;żeleć
želězo;żelazo
želǫdь;żołądź
želǫdъkъ;żołądek
želpati;żłopać
žely;żółw
želza;zołza
žena;żona
ženixъ;żenich
ženьskъ;żeński
ženъka;żonka
žeravľь;żuraw
žeravъ;żuraw
žerbę;źrebię
žerbъ;źrzeb
žerdlo;źródło
žerti;żreć
žeťi;żec
žędati;żądać
žędьnъ;żądny
žędlo;żądło
žęďa;żądza
žęti;żąć
židъ;żyd
židъkъ;żydki
žila;żyła
žiroslavъ;żyrosław
žiti;żyć
žito;żyto
živica;żywica
živostь;żywość
životъ;żywot
živъ;żywy
žiznь;żyzny
žьbirъ;zberki
žьdati;żdać
žьlna;żołna
žьltъ;żółty
žьrdь;żerdź
žьrьcь;żerca
žьrny;żarna
žьrtva;żertwa
žьvati;żuć
žukъ;żuk
žuriti;żurzyć
žuti;żuć
žužeľь;żużel
